student_id,age,gender,sleep_hours,screen_time_hours,stress_level,study_hours,physical_activity,caffeine_intake,academic_pressure
S001,22,Female,5.9,2.7,Medium,7.4,Yes,3,High
S002,25,Male,5.9,7.6,High,4.6,No,2,Low
S003,23,Male,8.0,3.2,Low,2.0,Yes,3,High
S004,22,Female,7.8,11.4,Medium,4.4,Yes,3,High
S005,20,Other,6.0,2.9,Medium,6.7,No,0,High
S006,21,Other,4.1,8.0,High,5.8,Yes,1,Medium
S007,24,Other,4.9,8.6,High,6.2,No,1,Low
S008,22,Female,8.6,4.2,Low,2.1,Yes,1,Low
S009,24,Male,4.0,7.6,High,7.7,No,0,High
S010,25,Other,7.1,7.0,Medium,4.4,Yes,2,Medium
S011,25,Other,7.0,6.7,Medium,7.6,No,4,Low
S012,18,Other,4.7,3.0,Medium,3.2,No,4,Medium
S013,20,Male,8.0,10.5,Medium,6.7,Yes,1,Medium
S014,22,Male,8.0,2.9,Low,2.4,Yes,1,Low
S015,22,Male,6.1,5.7,Medium,6.3,No,0,Low
S016,23,Female,4.9,2.4,Medium,3.8,Yes,0,High
S017,25,Female,8.3,4.5,Low,2.6,Yes,0,High
S018,21,Other,7.5,3.3,Low,2.8,No,1,Low
S019,23,Other,5.3,7.2,High,3.6,Yes,3,Low
S020,19,Male,8.8,10.9,Medium,2.8,Yes,1,Medium
S021,25,Female,6.9,4.8,Medium,7.9,Yes,3,Medium
S022,18,Female,6.7,10.3,Medium,6.6,Yes,4,High
S023,20,Other,7.6,10.1,Medium,3.0,No,1,Low
S024,24,Other,4.8,10.0,High,7.8,No,0,Low
S025,23,Male,5.2,9.2,High,6.7,No,3,Medium
S026,25,Male,6.1,3.3,Medium,7.3,Yes,1,High
S027,22,Male,7.9,4.4,Low,2.9,No,1,Low
S028,22,Other,5.8,7.1,High,7.4,No,4,High
S029,18,Female,5.6,4.1,Medium,5.5,Yes,3,High
S030,23,Female,7.0,9.9,Medium,5.6,Yes,2,High
S031,22,Female,8.1,8.2,Medium,6.2,Yes,2,High
S032,18,Female,6.0,8.9,Medium,7.5,No,4,High
S033,22,Male,6.1,6.5,Medium,6.3,No,0,Low
S034,23,Female,7.6,6.5,Medium,3.6,No,3,Medium
S035,19,Other,8.7,11.9,Medium,4.3,Yes,4,High
S036,22,Other,6.6,9.0,Medium,7.8,No,3,Low
S037,22,Male,6.9,7.5,Medium,4.8,No,4,High
S038,20,Male,6.5,9.1,Medium,5.2,Yes,0,Medium
S039,22,Other,7.7,9.9,Medium,3.3,No,2,Low
S040,18,Other,4.6,4.5,Medium,2.8,No,1,Medium
S041,23,Female,8.7,11.8,Medium,3.5,Yes,3,High
S042,22,Female,5.2,2.3,Medium,4.0,No,0,Medium
S043,24,Male,4.7,2.5,Medium,7.9,Yes,2,Low
S044,22,Female,7.7,7.4,Medium,7.0,No,1,Medium
S045,20,Other,5.1,8.9,High,6.6,No,4,Low
S046,21,Other,8.4,2.8,Low,5.4,No,1,High
S047,25,Female,6.4,5.8,Medium,2.4,Yes,2,Low
S048,22,Other,5.7,3.7,Medium,3.2,No,4,High
S049,21,Other,8.6,3.4,Low,7.1,No,4,Medium
S050,19,Other,5.7,9.1,High,2.2,No,2,Medium
S051,21,Female,5.5,5.3,Medium,6.2,Yes,2,Low
S052,23,Other,4.7,10.1,High,6.6,Yes,0,High
S053,20,Other,6.5,3.6,Medium,2.8,No,4,High
S054,24,Female,7.0,8.6,Medium,7.3,No,3,Low
S055,18,Female,5.7,3.8,Medium,5.0,Yes,0,High
S056,21,Male,8.6,4.8,Low,2.1,Yes,1,Medium
S057,22,Other,7.4,6.7,Medium,6.7,No,3,Medium
S058,21,Other,7.2,10.0,Medium,6.4,Yes,1,Low
S059,21,Male,8.7,4.7,Low,5.9,No,2,High
S060,24,Male,6.3,7.3,Medium,7.3,No,0,High
S061,24,Male,8.9,2.8,Low,3.4,No,1,Low
S062,24,Female,8.7,5.4,Medium,5.3,No,2,High
S063,23,Male,4.2,7.9,High,2.7,Yes,1,Low
S064,25,Female,7.9,2.9,Low,5.6,No,4,Low
S065,20,Female,8.6,3.8,Low,3.4,Yes,3,Low
S066,19,Female,4.7,4.2,Medium,4.1,No,1,Low
S067,20,Other,5.2,8.7,High,3.9,Yes,2,High
S068,18,Female,6.0,8.7,Medium,7.6,Yes,4,High
S069,19,Female,5.4,3.0,Medium,7.3,Yes,4,High
S070,19,Female,6.2,8.7,Medium,4.8,No,0,High
S071,19,Male,5.7,3.6,Medium,7.7,Yes,1,High
S072,21,Male,4.2,6.7,Medium,5.8,Yes,0,High
S073,22,Other,5.2,2.9,Medium,2.0,Yes,0,Medium
S074,18,Male,8.1,3.4,Low,2.3,No,3,Medium
S075,25,Other,4.3,8.0,High,3.2,No,0,Medium
S076,23,Other,5.3,10.0,High,4.1,No,2,High
S077,20,Male,7.9,11.3,Medium,6.4,No,1,Medium
S078,25,Female,6.8,3.7,Medium,3.1,Yes,4,Low
S079,19,Male,5.7,10.1,High,5.8,No,3,Medium
S080,22,Female,8.5,5.3,Medium,2.9,No,1,Medium
S081,25,Male,6.6,7.6,Medium,7.0,No,4,High
S082,24,Female,6.0,8.7,Medium,7.4,No,1,Low
S083,25,Other,4.7,4.5,Medium,7.2,Yes,1,Medium
S084,23,Other,8.7,6.8,Medium,7.6,Yes,1,Medium
S085,18,Female,4.5,4.2,Medium,5.7,No,2,Low
S086,19,Other,6.4,11.3,Medium,5.5,No,1,High
S087,20,Female,6.8,3.0,Medium,5.1,Yes,3,Medium
S088,22,Male,4.9,6.8,Medium,2.1,No,0,Medium
S089,23,Male,5.6,6.6,Medium,4.7,No,1,Low
S090,21,Female,9.0,9.3,Medium,5.5,Yes,4,Low
S091,20,Male,7.9,6.3,Medium,5.5,Yes,1,Low
S092,23,Male,9.0,2.5,Low,2.5,Yes,1,High
S093,25,Other,7.2,4.6,Low,4.1,Yes,3,Low
S094,23,Male,5.1,4.0,Medium,2.7,Yes,0,Medium
S095,21,Male,4.3,10.4,High,3.5,No,0,Medium
S096,25,Male,8.8,8.1,Medium,4.1,No,1,High
S097,21,Female,8.6,9.8,Medium,4.2,Yes,4,Low
S098,23,Female,4.7,4.3,Medium,2.9,Yes,1,High
S099,20,Other,7.7,10.6,Medium,2.9,Yes,3,Medium
S100,18,Male,7.7,11.3,Medium,6.4,Yes,2,Medium
S101,24,Other,8.6,11.0,Medium,5.5,No,1,High
S102,20,Other,7.2,10.0,Medium,2.8,No,1,Medium
S103,20,Male,8.6,3.7,Low,2.6,No,0,Low
S104,25,Male,8.1,10.9,Medium,3.7,No,4,Low
S105,22,Male,6.8,10.2,Medium,5.5,Yes,2,Low
S106,23,Male,5.7,8.5,High,3.8,Yes,1,High
S107,20,Female,6.1,6.7,Medium,7.4,Yes,0,Medium
S108,22,Other,7.9,11.6,Medium,7.1,Yes,4,Medium
S109,21,Other,7.6,11.4,Medium,7.9,Yes,1,Medium
S110,22,Male,7.8,5.1,Medium,5.3,No,3,High
S111,22,Male,4.7,3.7,Medium,3.6,Yes,4,High
S112,25,Female,5.7,11.3,High,7.2,No,2,High
S113,22,Male,7.7,2.6,Low,7.5,Yes,1,Low
S114,21,Male,8.5,11.3,Medium,4.9,No,2,Low
S115,20,Male,7.0,7.4,Medium,3.6,No,0,High
S116,20,Other,5.3,10.2,High,6.1,Yes,1,Low
S117,21,Female,7.7,9.7,Medium,3.7,No,1,Low
S118,20,Male,5.0,8.9,High,5.9,No,3,Medium
S119,24,Male,4.8,6.4,Medium,4.7,No,0,Low
S120,19,Other,5.0,9.5,High,3.6,Yes,4,Low
S121,20,Other,6.6,3.1,Medium,4.6,Yes,4,Medium
S122,25,Female,8.9,2.4,Low,3.6,Yes,3,Medium
S123,25,Other,8.2,11.4,Medium,6.0,No,2,Low
S124,25,Female,5.2,4.0,Medium,3.1,No,2,High
S125,23,Female,8.7,7.6,Medium,6.3,No,1,Medium
S126,23,Other,8.6,10.7,Medium,6.7,No,0,Low
S127,24,Other,4.4,4.0,Medium,4.6,No,3,Medium
S128,20,Male,4.7,10.7,High,2.4,Yes,0,Medium
S129,20,Other,4.3,3.9,Medium,2.6,No,0,Medium
S130,23,Male,7.3,4.1,Low,6.7,Yes,4,Low
S131,23,Other,6.3,9.5,Medium,5.9,Yes,1,High
S132,25,Male,5.6,3.7,Medium,4.9,No,2,High
S133,23,Other,7.6,6.4,Medium,3.6,Yes,0,High
S134,20,Other,7.1,10.0,Medium,2.4,Yes,1,High
S135,23,Other,8.1,9.5,Medium,3.7,Yes,4,High
S136,21,Male,5.8,5.4,Medium,4.6,Yes,0,Medium
S137,21,Other,4.4,9.0,High,3.6,Yes,4,Low
S138,25,Other,7.2,2.4,Low,7.9,No,1,Low
S139,22,Other,8.6,8.2,Medium,7.5,No,4,High
S140,20,Other,8.5,4.6,Low,6.0,Yes,1,High
S141,22,Male,8.7,10.9,Medium,2.7,Yes,3,Medium
S142,21,Other,5.2,8.4,High,3.5,Yes,2,Medium
S143,23,Other,7.0,7.7,Medium,7.2,No,1,Low
S144,22,Male,7.6,7.0,Medium,5.1,Yes,2,High
S145,22,Female,7.3,3.2,Low,4.8,No,1,Low
S146,18,Male,4.7,4.6,Medium,3.3,Yes,3,Low
S147,25,Other,8.7,11.4,Medium,6.5,No,3,Medium
S148,21,Female,8.1,6.1,Medium,6.4,No,0,Medium
S149,22,Male,6.1,11.4,Medium,7.5,No,2,High
S150,24,Other,5.8,5.3,Medium,6.7,Yes,3,Low
S151,18,Other,6.6,10.4,Medium,2.3,Yes,4,Low
S152,25,Other,5.2,4.4,Medium,4.6,No,3,Low
S153,20,Male,5.1,7.6,High,4.3,Yes,4,Medium
S154,19,Male,4.4,10.9,High,2.9,Yes,2,Medium
S155,18,Other,7.7,6.2,Medium,7.1,No,2,High
S156,18,Female,6.0,11.7,Medium,6.0,No,1,High
S157,24,Female,5.3,8.8,High,5.4,Yes,3,Low
S158,22,Other,5.9,11.5,High,3.3,No,4,Low
S159,21,Male,5.5,8.7,High,5.5,No,3,High
S160,21,Male,4.4,4.9,Medium,4.8,No,1,Low
S161,25,Female,8.6,7.2,Medium,4.3,No,3,Medium
S162,21,Other,8.0,5.5,Medium,4.8,No,2,High
S163,22,Female,4.9,11.0,High,2.0,No,2,Low
S164,24,Female,8.8,11.3,Medium,7.0,No,2,High
S165,22,Female,5.7,11.9,High,5.7,Yes,1,Medium
S166,25,Female,7.4,7.3,Medium,5.8,No,0,High
S167,23,Other,8.1,9.2,Medium,7.5,Yes,3,High
S168,25,Other,4.6,6.5,Medium,5.0,No,2,Low
S169,21,Male,7.1,11.6,Medium,3.8,Yes,0,Low
S170,23,Male,4.8,11.4,High,5.7,No,3,High
S171,25,Female,4.9,9.5,High,6.6,No,2,Low
S172,24,Female,4.7,10.0,High,3.3,Yes,1,High
S173,25,Other,6.4,2.5,Medium,5.6,Yes,4,Medium
S174,22,Male,8.6,5.9,Medium,6.2,Yes,2,High
S175,22,Male,4.2,7.7,High,3.2,No,2,Low
S176,23,Female,8.7,6.6,Medium,2.4,No,4,High
S177,18,Male,8.2,11.9,Medium,5.0,Yes,1,Medium
S178,18,Female,5.2,9.6,High,6.9,No,3,Low
S179,19,Other,8.8,3.2,Low,5.5,No,0,Medium
S180,20,Male,7.4,11.5,Medium,4.4,No,2,Medium
S181,19,Other,5.1,3.2,Medium,7.5,Yes,0,High
S182,20,Other,5.3,7.1,High,5.6,No,1,High
S183,24,Male,7.4,2.5,Low,7.9,No,1,Low
S184,22,Other,7.5,10.9,Medium,7.5,No,3,High
S185,19,Female,7.2,4.8,Low,5.4,No,3,High
S186,25,Female,8.5,10.4,Medium,7.1,Yes,4,Medium
S187,18,Other,5.7,7.3,High,6.5,No,3,Low
S188,24,Male,7.9,7.3,Medium,7.9,No,3,Medium
S189,23,Other,8.5,4.0,Low,5.6,No,4,Medium
S190,25,Other,5.5,2.8,Medium,3.6,No,2,Low
S191,24,Other,6.1,10.0,Medium,6.9,No,1,Low
S192,19,Other,6.8,10.1,Medium,7.5,Yes,4,Medium
S193,21,Male,9.0,2.6,Low,6.5,No,4,High
S194,20,Female,7.3,7.0,Medium,4.0,Yes,0,Low
S195,24,Male,6.6,11.2,Medium,4.3,Yes,4,High
S196,19,Male,7.1,5.9,Medium,7.9,Yes,3,Medium
S197,22,Other,8.4,9.9,Medium,4.1,Yes,3,Medium
S198,20,Other,7.7,6.0,Medium,5.3,Yes,1,Low
S199,25,Other,6.6,6.1,Medium,4.8,Yes,2,High
S200,18,Female,6.2,9.7,Medium,6.3,Yes,3,High
S201,18,Female,6.9,5.0,Medium,3.3,Yes,4,Low
S202,24,Female,4.4,2.7,Medium,5.7,Yes,0,Low
S203,19,Other,8.9,9.4,Medium,2.1,Yes,2,Low
S204,22,Male,7.9,8.6,Medium,2.4,No,2,High
S205,25,Female,7.0,4.2,Low,3.9,No,3,High
S206,23,Female,5.8,10.7,High,7.5,No,3,Low
S207,22,Female,6.4,10.7,Medium,2.3,No,4,High
S208,19,Male,8.9,8.2,Medium,6.5,Yes,2,High
S209,20,Female,7.2,10.2,Medium,6.9,No,1,Low
S210,21,Male,4.2,11.5,High,2.8,No,3,Low
S211,18,Female,8.5,7.0,Medium,7.9,No,1,Low
S212,19,Male,8.8,7.5,Medium,2.1,Yes,4,High
S213,21,Other,8.7,8.3,Medium,7.7,No,1,Medium
S214,19,Female,7.0,10.1,Medium,4.1,No,2,Low
S215,22,Female,4.2,9.4,High,2.5,No,0,High
S216,19,Male,4.6,5.4,Medium,4.8,No,1,Low
S217,24,Male,6.0,2.2,Medium,5.3,Yes,2,High
S218,18,Other,4.5,11.5,High,4.0,No,3,Low
S219,25,Female,8.9,8.3,Medium,7.1,Yes,4,Medium
S220,20,Female,6.3,7.1,Medium,4.4,Yes,2,Medium
S221,20,Other,5.1,6.2,Medium,7.5,Yes,1,High
S222,23,Male,4.5,8.0,High,4.0,Yes,3,Low
S223,20,Male,8.0,5.6,Medium,6.6,Yes,3,Medium
S224,20,Female,6.6,5.9,Medium,3.6,No,4,Medium
S225,22,Male,7.1,6.1,Medium,5.1,No,4,Low
S226,24,Female,5.8,3.9,Medium,7.8,Yes,2,Medium
S227,18,Other,5.9,2.9,Medium,2.7,Yes,3,Medium
S228,23,Other,6.3,5.0,Medium,5.7,No,0,Low
S229,18,Female,6.1,11.9,Medium,7.4,Yes,3,Low
S230,24,Male,6.9,7.3,Medium,4.0,No,3,Low
S231,22,Female,7.8,3.6,Low,6.9,Yes,2,Medium
S232,25,Female,6.3,9.7,Medium,6.7,No,3,Low
S233,18,Male,8.4,10.7,Medium,3.0,Yes,4,Low
S234,24,Male,5.4,2.4,Medium,6.4,Yes,0,Medium
